Channel URL,Name,Comment,Time,Likes,Reply Count,Reply Author,Reply,Published,Updated
,,,,,,@feugangmichel5059,​@@graffechawa1586😢😮🎉🎉d  je r 🎉😢⁸f⁹⁸ 8k tprnt😅j,2023-06-08T07:25:34Z,2024-06-17T23:28:23Z
,,,,,,@eunicebinwi6335,I. Love it,2023-06-04T17:44:07Z,2023-06-04T17:44:07Z
,,,,,,@gaelle7849,Tu rends mon fils de 3ans fou avec ton son ci. Il est de loin ton plus gros fan ashouer,2023-06-03T09:56:41Z,2023-06-03T09:56:41Z
,,,,,,@johnmbull4515,Reese,2023-06-01T15:25:43Z,2023-06-01T15:25:43Z
,,,,,,@stephanietiki3841,😂😂😂😂😂😂😂😂😂😂,2023-05-31T17:55:19Z,2023-05-31T17:55:19Z
,,,,,,@nakomaaustino2095,So powerful,2023-05-28T10:34:58Z,2023-05-28T10:34:58Z
,,,,,,@TonyDie-vz5by,​@@nearisdesign7762 <br><br>❤❤❤,2023-05-27T16:28:51Z,2023-05-27T16:28:51Z
,,,,,,@tougaprimo7854,Xperia de,2023-05-27T15:51:11Z,2023-05-27T15:51:11Z
,,,,,,@laverite1962,@@SafaouBebbe c&#39;est un don du ciel,2023-05-26T16:58:01Z,2023-05-26T16:58:01Z
,,,,,,@SafaouBebbe,@@laverite1962 on fait comment pour être camerounais,2023-05-26T16:52:16Z,2024-06-17T23:28:23Z
,,,,,,@antoinettelanganya,​love....Big Up❤❤❤@@patrickbotekoudongue5836,2023-05-23T19:27:45Z,2023-05-23T19:27:45Z
,,,,,,@antoinettelanganya,​@@patrickbotekoudongue5836 l,2023-05-23T19:26:42Z,2023-05-23T19:26:42Z
,,,,,,@kumjustus4244,I Like your song ko-c,2023-05-22T19:04:56Z,2023-05-22T19:04:56Z
,,,,,,@gaellemaffo7485,🎉😢😮Tuatuè,2023-05-21T17:17:23Z,2023-05-21T17:17:23Z
,,,,,,@MammetSur,😮😮😮,2023-05-21T06:24:28Z,2023-05-21T06:24:28Z
,,,,,,@MammetSur,😢,2023-05-21T06:24:15Z,2023-05-21T06:24:15Z
,,,,,,@jessicapouassi5631,@@nearisdesign7762y’a,2023-05-20T20:19:00Z,2024-06-17T23:28:23Z
,,,,,,@melissangono5038,Concert en france?,2023-05-18T01:27:13Z,2023-05-18T01:27:13Z
,,,,,,@lucilelessomo5216,​❤,2023-05-16T16:51:16Z,2023-05-16T16:51:16Z
,,,,,,@charlottengono2171,​@@mikegoltaford3360 l:,2023-05-14T20:04:10Z,2023-05-14T20:04:10Z
,,,,,,@lilianedjuikom5796,Cm<br>aczj&#39;gcg&#39;dzxfh&#39;x,2023-05-14T08:22:53Z,2023-05-14T08:22:53Z
,,,,,,@esmeradaazeufack8288,​@@nearisdesign7762 😊😊,2023-05-13T21:41:54Z,2023-05-13T21:41:54Z
,,,,,,@karellenguifo7833,​@@laverite1962😢 le 😅,2023-05-11T13:35:31Z,2023-05-11T13:35:31Z
,,,,,,@chansydiffo280,​@@patrickbotekoudongue5836 à l&#39;heure. 😂,2023-05-11T12:53:41Z,2023-05-11T12:53:41Z
,,,,,,@ireneflorenana3139,Ukk de,2023-05-09T21:06:02Z,2023-05-09T21:06:02Z
,,,,,,@charlesakachiby4899,​@@nearisdesign7762 ou à,2023-05-09T20:59:33Z,2023-05-09T20:59:33Z
,,,,,,@michellemimba3096,"C&#39;est la magie du song ... Je suis RH dans une multinationale au Cameroun et le 1er mai 2023, j&#39;ai reçu un prix et j&#39;ai demandé au DJ de lancer ce sont c&#39;était la magie, mon DG, le Daf tout le monde chantait et dansait en faisant le ballet... Chapeau Ko- C",2023-05-09T16:41:49Z,2023-05-09T16:41:49Z
,,,,,,@owolabifortunee5251,​@@nearisdesign7762ôuuûùî maman,2023-05-08T14:54:04Z,2024-06-17T23:28:23Z
,,,,,,@appohjessicacharlene8820,Qhkv,2023-05-06T21:37:43Z,2023-05-06T21:37:43Z
,,,,,,@aissatouabdoullahi5788,Fxf,2023-05-04T12:39:58Z,2023-05-04T12:39:58Z
,,,,,,@NanaStephaneStephane,"​@@nearisdesign7762 <a href=""https://www.youtube.com/watch?v=bcW315qgWe8&amp;t=32"">0:32</a>",2023-05-02T11:36:04Z,2023-05-02T11:36:04Z
,,,,,,@laverite1962,@@sandrinesandrine8434 voilà ❤️,2023-05-01T14:43:40Z,2023-05-01T14:43:40Z
,,,,,,@sandrinesandrine8434,​@@laverite1962  je ne sais pas en tout cas moi je suis une vrai camer 😂 🇨🇲,2023-04-30T14:55:43Z,2023-04-30T14:55:43Z
,,,,,,@theobakam3994,"Merci KO-C, c&#39;est ma maman qui m&#39;a fait la recette de pâtes aux œufs 🤩🍳🥚🍜",2023-04-30T09:06:15Z,2023-04-30T09:06:15Z
